filename, n, cpu_time_used
560.node, 560, 0.001275
561.node, 561, 0.001436
562.node, 562, 0.001456
563.node, 563, 0.001414
564.node, 564, 0.001288
565.node, 565, 0.001427
566.node, 566, 0.001291
567.node, 567, 0.001352
568.node, 568, 0.001315
569.node, 569, 0.001314
570.node, 570, 0.001333
571.node, 571, 0.001332
572.node, 572, 0.001436
573.node, 573, 0.00147
574.node, 574, 0.001515
575.node, 575, 0.001352
576.node, 576, 0.001431
577.node, 577, 0.001349
578.node, 578, 0.001356
579.node, 579, 0.001513
580.node, 580, 0.001539
581.node, 581, 0.001364
582.node, 582, 0.00145
583.node, 583, 0.001381
584.node, 584, 0.001372
585.node, 585, 0.001481
586.node, 586, 0.001395
587.node, 587, 0.001427
588.node, 588, 0.001422
589.node, 589, 0.001402
590.node, 590, 0.001398
591.node, 591, 0.001504
592.node, 592, 0.001661
593.node, 593, 0.001848
594.node, 594, 0.001611
595.node, 595, 0.001534
596.node, 596, 0.001705
597.node, 597, 0.001444
598.node, 598, 0.001436
599.node, 599, 0.001446
600.node, 600, 0.001468
601.node, 601, 0.001568
602.node, 602, 0.001567
603.node, 603, 0.001495
604.node, 604, 0.001474
605.node, 605, 0.001492
606.node, 606, 0.00149
607.node, 607, 0.001627
608.node, 608, 0.00172
609.node, 609, 0.001641
610.node, 610, 0.001716
611.node, 611, 0.001651
612.node, 612, 0.001686
613.node, 613, 0.001761
614.node, 614, 0.00167
615.node, 615, 0.001708
616.node, 616, 0.001733
617.node, 617, 0.001768
618.node, 618, 0.001601
619.node, 619, 0.001781
620.node, 620, 0.001753
621.node, 621, 0.001695
622.node, 622, 0.001755
623.node, 623, 0.001724
624.node, 624, 0.001753
625.node, 625, 0.001778
626.node, 626, 0.001884
627.node, 627, 0.001904
628.node, 628, 0.001599
629.node, 629, 0.001651
630.node, 630, 0.001687
631.node, 631, 0.001604
632.node, 632, 0.001629
633.node, 633, 0.001863
634.node, 634, 0.001799
635.node, 635, 0.00181
636.node, 636, 0.001682
637.node, 637, 0.001642
638.node, 638, 0.001691
639.node, 639, 0.00167
640.node, 640, 0.001751
641.node, 641, 0.001781
642.node, 642, 0.001673
643.node, 643, 0.001822
644.node, 644, 0.00188
645.node, 645, 0.001839
646.node, 646, 0.001695
