filename, n, cpu_time_used
894.node,894,0.000177
895.node,895,0.000193
896.node,896,0.000179
897.node,897,0.000201
898.node,898,0.000237
899.node,899,0.00021
900.node,900,0.000265
901.node,901,0.000231
902.node,902,0.000216
903.node,903,0.000222
904.node,904,0.000182
905.node,905,0.000197
906.node,906,0.000225
907.node,907,0.000206
908.node,908,0.000218
909.node,909,0.000215
910.node,910,0.000216
911.node,911,0.000215
912.node,912,0.000198
913.node,913,0.000194
914.node,914,0.000212
915.node,915,0.000187
916.node,916,0.000188
917.node,917,0.000193
918.node,918,0.000208
919.node,919,0.000204
920.node,920,0.000191
921.node,921,0.00019
922.node,922,0.000205
923.node,923,0.000191
924.node,924,0.000198
925.node,925,0.000217
926.node,926,0.000196
927.node,927,0.000204
928.node,928,0.000204
929.node,929,0.000214
930.node,930,0.000212
931.node,931,0.000233
932.node,932,0.000208
933.node,933,0.00022
934.node,934,0.000306
935.node,935,0.000256
936.node,936,0.000258
937.node,937,0.000241
938.node,938,0.000215
939.node,939,0.000192
940.node,940,0.000194
941.node,941,0.000198
942.node,942,0.000192
943.node,943,0.000193
944.node,944,0.000189
945.node,945,0.000194
946.node,946,0.0002
947.node,947,0.000199
948.node,948,0.000192
949.node,949,0.000197
950.node,950,0.000193
951.node,951,0.000193
952.node,952,0.00019
953.node,953,0.000221
954.node,954,0.000229
955.node,955,0.000364
956.node,956,0.000223
957.node,957,0.000194
958.node,958,0.000203
959.node,959,0.000212
960.node,960,0.000221
961.node,961,0.000204
962.node,962,0.000211
963.node,963,0.000213
964.node,964,0.000193
965.node,965,0.000194
966.node,966,0.000192
967.node,967,0.000227
968.node,968,0.000249
969.node,969,0.000312
970.node,970,0.000212
971.node,971,0.000252
972.node,972,0.000239
973.node,973,0.000223
974.node,974,0.000197
975.node,975,0.000219
976.node,976,0.000211
977.node,977,0.000225
978.node,978,0.000222
979.node,979,0.000224
980.node,980,0.00022
981.node,981,0.000232
982.node,982,0.000231
983.node,983,0.000219
984.node,984,0.00023
985.node,985,0.000264
986.node,986,0.000222
987.node,987,0.000252
988.node,988,0.000248
989.node,989,0.000201
990.node,990,0.000217
991.node,991,0.00024
992.node,992,0.000202
993.node,993,0.000199
994.node,994,0.000198
995.node,995,0.000208
996.node,996,0.000201
997.node,997,0.0002
998.node,998,0.000199
999.node,999,0.00021
1000.node,1000,0.000222
1001.node,1001,0.000254
1002.node,1002,0.000232
1003.node,1003,0.000236
1004.node,1004,0.000234
1005.node,1005,0.000223
1006.node,1006,0.000217
1007.node,1007,0.000218
1008.node,1008,0.000216
1009.node,1009,0.000217
1010.node,1010,0.000249
1011.node,1011,0.000234
1012.node,1012,0.000237
1013.node,1013,0.000227
1014.node,1014,0.000242
1015.node,1015,0.000246
1016.node,1016,0.000246
1017.node,1017,0.000243
1018.node,1018,0.00026
1019.node,1019,0.000241
1020.node,1020,0.000234
1021.node,1021,0.000218
1022.node,1022,0.000226
1023.node,1023,0.00024
1024.node,1024,0.000275
1025.node,1025,0.000236
1026.node,1026,0.000243
1027.node,1027,0.000251
1028.node,1028,0.000259
1029.node,1029,0.000233
1030.node,1030,0.000244
1031.node,1031,0.000243
1032.node,1032,0.000237
1033.node,1033,0.000241
1034.node,1034,0.00026
1035.node,1035,0.000244
1036.node,1036,0.000275
1037.node,1037,0.000246
1038.node,1038,0.000278
1039.node,1039,0.000235
1040.node,1040,0.000268
1041.node,1041,0.000259
1042.node,1042,0.000242
1043.node,1043,0.000242
1044.node,1044,0.00023
1045.node,1045,0.000236
1046.node,1046,0.000253
1047.node,1047,0.00032
1048.node,1048,0.000251
1049.node,1049,0.000238
1050.node,1050,0.000268
1051.node,1051,0.000251
1052.node,1052,0.000235
1053.node,1053,0.000224
1054.node,1054,0.000218
1055.node,1055,0.000221
1056.node,1056,0.000218
1057.node,1057,0.000242
1058.node,1058,0.000252
1059.node,1059,0.00027
1060.node,1060,0.000252
1061.node,1061,0.000393
1062.node,1062,0.000253
1063.node,1063,0.000264
1064.node,1064,0.000247
1065.node,1065,0.000234
1066.node,1066,0.000235
1067.node,1067,0.000283
1068.node,1068,0.000277
1069.node,1069,0.000267
1070.node,1070,0.000255
1071.node,1071,0.000328
1072.node,1072,0.000682
1073.node,1073,0.00029
1074.node,1074,0.000275
1075.node,1075,0.00028
1076.node,1076,0.000241
1077.node,1077,0.000238
1078.node,1078,0.000235
1079.node,1079,0.000336
1080.node,1080,0.000341
1081.node,1081,0.00027
1082.node,1082,0.000297
1083.node,1083,0.000266
1084.node,1084,0.000307
1085.node,1085,0.000272
1086.node,1086,0.000356
1087.node,1087,0.00025
1088.node,1088,0.000515
1089.node,1089,0.000353
1090.node,1090,0.000366
1091.node,1091,0.000364
1092.node,1092,0.000357
1093.node,1093,0.000334
1094.node,1094,0.00028
1095.node,1095,0.000416
1096.node,1096,0.000308
1097.node,1097,0.000274
1098.node,1098,0.00024
1099.node,1099,0.000235
1100.node,1100,0.000234
1101.node,1101,0.000278
1102.node,1102,0.000252
1103.node,1103,0.000264
1104.node,1104,0.000246
1105.node,1105,0.000289
1106.node,1106,0.00026
1107.node,1107,0.000416
1108.node,1108,0.000276
1109.node,1109,0.000293
1110.node,1110,0.000259
1111.node,1111,0.000253
1112.node,1112,0.000278
1113.node,1113,0.000249
1114.node,1114,0.000256
1115.node,1115,0.000242
1116.node,1116,0.00024
1117.node,1117,0.000269
1118.node,1118,0.000294
1119.node,1119,0.000283
1120.node,1120,0.000269
1121.node,1121,0.000276
1122.node,1122,0.000274
1123.node,1123,0.000255
1124.node,1124,0.000298
1125.node,1125,0.000263
1126.node,1126,0.000276
1127.node,1127,0.000255
1128.node,1128,0.000265
1129.node,1129,0.000277
1130.node,1130,0.000264
1131.node,1131,0.000275
1132.node,1132,0.000254
1133.node,1133,0.000254
1134.node,1134,0.000272
1135.node,1135,0.000247
1136.node,1136,0.000248
1137.node,1137,0.000248
1138.node,1138,0.000257
1139.node,1139,0.000254
1140.node,1140,0.000266
1141.node,1141,0.00029
1142.node,1142,0.000249
1143.node,1143,0.000266
1144.node,1144,0.000266
1145.node,1145,0.000283
1146.node,1146,0.000289
1147.node,1147,0.000274
1148.node,1148,0.000271
1149.node,1149,0.000269
